time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
1.096,0.088,23.543,-2.325,-0.049,1.873,-0.125,0.364,0.118,-0.165,0.000,
1.098,-0.031,24.370,-2.425,-0.049,1.920,-0.130,0.363,0.129,-0.159,2.000,
1.100,-0.172,25.170,-2.505,-0.049,1.969,-0.135,0.366,0.136,-0.155,0.000,
1.102,-0.326,25.936,-2.565,-0.049,2.020,-0.140,0.376,0.142,-0.149,2.000,
1.104,-0.483,26.669,-2.610,-0.050,2.071,-0.145,0.389,0.144,-0.141,0.000,
1.106,-0.640,27.376,-2.647,-0.051,2.125,-0.150,0.403,0.144,-0.129,2.000,
1.108,-0.799,28.068,-2.687,-0.052,2.179,-0.155,0.415,0.141,-0.114,2.000,
1.110,-0.963,28.749,-2.734,-0.053,2.236,-0.161,0.425,0.136,-0.094,0.000,
1.112,-1.135,29.412,-2.789,-0.055,2.293,-0.166,0.433,0.129,-0.071,2.000,
1.114,-1.316,30.050,-2.848,-0.058,2.352,-0.172,0.441,0.120,-0.049,2.000,
1.116,-1.502,30.660,-2.903,-0.060,2.412,-0.178,0.445,0.107,-0.035,0.000,
1.118,-1.693,31.249,-2.946,-0.063,2.473,-0.183,0.448,0.087,-0.035,2.000,
1.120,-1.891,31.843,-2.979,-0.067,2.536,-0.189,0.451,0.058,-0.042,2.000,
1.122,-2.094,32.471,-2.999,-0.070,2.600,-0.195,0.456,0.026,-0.040,0.000,
1.124,-2.286,33.153,-2.994,-0.075,2.664,-0.201,0.461,0.001,-0.025,2.000,
1.126,-2.444,33.886,-2.959,-0.079,2.731,-0.207,0.463,-0.006,0.002,2.000,
1.128,-2.551,34.644,-2.906,-0.084,2.799,-0.213,0.466,0.003,0.035,2.000,
1.130,-2.606,35.380,-2.858,-0.089,2.868,-0.219,0.477,0.022,0.066,0.000,
1.132,-2.622,36.044,-2.840,-0.094,2.939,-0.225,0.497,0.038,0.092,2.000,
1.134,-2.614,36.606,-2.869,-0.100,3.011,-0.230,0.524,0.047,0.112,6.000,
1.136,-2.586,37.062,-2.959,-0.105,3.084,-0.236,0.554,0.049,0.126,2.000,
1.138,-2.534,37.422,-3.112,-0.110,3.158,-0.242,0.588,0.050,0.133,2.000,
1.140,-2.445,37.709,-3.323,-0.115,3.233,-0.248,0.624,0.054,0.133,0.000,
1.142,-2.318,37.949,-3.583,-0.120,3.308,-0.255,0.661,0.059,0.126,2.000,
1.144,-2.165,38.165,-3.873,-0.125,3.384,-0.262,0.703,0.062,0.114,2.000,
1.146,-2.008,38.375,-4.168,-0.129,3.461,-0.270,0.753,0.061,0.106,2.000,
1.148,-1.862,38.595,-4.442,-0.133,3.537,-0.278,0.810,0.058,0.101,2.000,
1.150,-1.736,38.844,-4.674,-0.137,3.614,-0.287,0.868,0.059,0.094,2.000,
1.152,-1.631,39.147,-4.849,-0.140,3.692,-0.296,0.919,0.069,0.091,2.000,
1.154,-1.547,39.532,-4.971,-0.143,3.770,-0.306,0.961,0.090,0.091,2.000,
1.156,-1.489,40.016,-5.058,-0.147,3.850,-0.316,0.993,0.116,0.090,2.000,
1.158,-1.468,40.601,-5.138,-0.150,3.930,-0.326,1.011,0.138,0.093,2.000,
1.160,-1.496,41.272,-5.236,-0.152,4.011,-0.336,1.018,0.150,0.100,2.000,
1.162,-1.575,41.988,-5.364,-0.155,4.093,-0.347,1.019,0.151,0.104,2.000,
1.164,-1.692,42.696,-5.517,-0.159,4.177,-0.358,1.017,0.140,0.100,0.000,
1.166,-1.822,43.346,-5.677,-0.162,4.263,-0.369,1.015,0.119,0.088,2.000,
1.168,-1.934,43.906,-5.818,-0.166,4.349,-0.380,1.017,0.095,0.069,2.000,
1.170,-1.997,44.374,-5.931,-0.169,4.437,-0.392,1.024,0.072,0.046,2.000,
1.172,-1.997,44.771,-6.025,-0.173,4.526,-0.403,1.036,0.054,0.020,6.000,
1.174,-1.933,45.120,-6.115,-0.177,4.615,-0.416,1.054,0.045,-0.006,2.000,
1.176,-1.819,45.445,-6.209,-0.181,4.706,-0.428,1.078,0.043,-0.032,2.000,
1.178,-1.673,45.764,-6.306,-0.185,4.797,-0.440,1.110,0.040,-0.057,2.000,
1.180,-1.523,46.097,-6.397,-0.188,4.888,-0.453,1.152,0.033,-0.082,2.000,
1.182,-1.386,46.464,-6.468,-0.191,4.980,-0.466,1.202,0.021,-0.104,2.000,
1.184,-1.263,46.897,-6.507,-0.194,5.073,-0.479,1.255,0.008,-0.124,2.000,
1.186,-1.136,47.432,-6.518,-0.197,5.167,-0.492,1.307,-0.002,-0.148,2.000,
1.188,-0.973,48.109,-6.509,-0.199,5.262,-0.505,1.362,-0.008,-0.174,2.000,
1.190,-0.748,48.962,-6.493,-0.201,5.358,-0.518,1.427,-0.015,-0.203,6.000,
1.192,-0.453,50.026,-6.489,-0.202,5.456,-0.531,1.497,-0.021,-0.231,2.000,
1.194,-0.097,51.330,-6.518,-0.203,5.556,-0.544,1.565,-0.016,-0.256,2.000,
1.196,0.303,52.886,-6.587,-0.203,5.659,-0.557,1.624,0.004,-0.275,2.000,
