time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds,,,,gforcex,gforcey,gforcez
0.106,0.002,0,0,-0.417,-0.493,9.993,0.001,0,0,-0.417,-0.493,9.993,0,-0.042507645259939,-0.050254841997961,1.01865443425076
0.107,0.002,0,0,-0.431,-0.508,9.965,0.001,0,0,-0.431,-0.508,9.965,0,-0.043934760448522,-0.051783893985729,1.0158002038736
0.108,0.002,0,0,-0.455,-0.512,10.036,0,0,0,-0.455,-0.512,10.036,0,-0.04638124362895,-0.052191641182467,1.0230377166157
0.109,0.002,0,0,-0.436,-0.503,10.027,0,0,0,-0.436,-0.503,10.027,0,-0.044444444444445,-0.051274209989806,1.02212028542304
0.11,0.002,0,0,-0.431,-0.512,10.027,0,0,-0.001,-0.431,-0.512,10.027,0,-0.043934760448522,-0.052191641182467,1.02212028542304
0.111,0.002,0,0,-0.441,-0.508,10.075,0.001,0,-0.001,-0.441,-0.508,10.075,0,-0.044954128440367,-0.051783893985729,1.02701325178389
0.112,0.002,0,0,-0.431,-0.508,10.089,0.001,0.001,-0.001,-0.431,-0.508,10.089,0,-0.043934760448522,-0.051783893985729,1.02844036697248
0.113,0.002,0.001,-0.001,-0.431,-0.508,10.07,0.001,0.001,-0.001,-0.431,-0.508,10.07,0,-0.043934760448522,-0.051783893985729,1.02650356778797
0.114,0.002,0.001,-0.001,-0.441,-0.493,10.056,0.001,0.001,-0.001,-0.441,-0.493,10.056,0,-0.044954128440367,-0.050254841997961,1.02507645259939
0.115,0.002,0.001,-0.001,-0.441,-0.527,10.099,0.001,0.001,-0.001,-0.441,-0.527,10.099,0,-0.044954128440367,-0.053720693170235,1.02945973496432
0.116,0.002,0.001,-0.001,-0.436,-0.551,10.046,0,0.001,-0.001,-0.436,-0.551,10.046,0,-0.044444444444445,-0.056167176350663,1.02405708460754
0.117,0.002,0.001,-0.001,-0.417,-0.527,10.013,0,0.001,-0.001,-0.417,-0.527,10.013,0,-0.042507645259939,-0.053720693170235,1.02069317023445
0.118,0.002,0.001,-0.001,-0.412,-0.527,10.118,0,0.001,-0.001,-0.412,-0.527,10.118,0,-0.041997961264016,-0.053720693170235,1.03139653414883
0.119,0.002,0,-0.001,-0.417,-0.541,10.123,0,0.001,-0.001,-0.417,-0.541,10.123,0,-0.042507645259939,-0.055147808358818,1.03190621814475
0.12,0.002,0,-0.001,-0.421,-0.503,10.099,0,0.001,-0.001,-0.421,-0.503,10.099,0,-0.042915392456677,-0.051274209989806,1.02945973496432
0.121,0.002,0.001,-0.001,-0.441,-0.512,10.065,0,0.001,-0.001,-0.441,-0.512,10.065,0,-0.044954128440367,-0.052191641182467,1.02599388379205
0.122,0.002,0.001,0,-0.445,-0.508,10.051,0,0.001,-0.001,-0.445,-0.508,10.051,0,-0.045361875637105,-0.051783893985729,1.02456676860347
0.123,0.002,0.001,0,-0.441,-0.498,10.036,0,0,-0.001,-0.441,-0.498,10.036,0,-0.044954128440367,-0.050764525993884,1.0230377166157
0.124,0.002,0.001,0,-0.441,-0.488,10.008,0,0,-0.001,-0.441,-0.488,10.008,0,-0.044954128440367,-0.049745158002039,1.02018348623853
0.125,0.002,0.001,0,-0.436,-0.474,10.027,0,0,-0.001,-0.436,-0.474,10.027,0,-0.044444444444445,-0.048318042813456,1.02212028542304
0.126,0.002,0.001,-0.001,-0.426,-0.512,9.989,0,0,-0.002,-0.426,-0.512,9.989,0,-0.043425076452599,-0.052191641182467,1.01824668705403
0.127,0.002,0.001,-0.001,-0.445,-0.517,10.017,0,0,-0.002,-0.445,-0.517,10.017,0,-0.045361875637105,-0.052701325178389,1.02110091743119
0.128,0.002,0.001,-0.001,-0.45,-0.517,10.075,0,0,-0.002,-0.45,-0.517,10.075,0,-0.045871559633028,-0.052701325178389,1.02701325178389
0.129,0.002,0.001,-0.001,-0.417,-0.512,10.075,0,0,-0.002,-0.417,-0.512,10.075,0,-0.042507645259939,-0.052191641182467,1.02701325178389
0.13,0.002,0.001,-0.001,-0.407,-0.522,10.065,0,0,-0.002,-0.407,-0.522,10.065,0,-0.041488277268094,-0.053211009174312,1.02599388379205
0.131,0.002,0.001,-0.001,-0.431,-0.532,10.036,0,0,-0.002,-0.431,-0.532,10.036,0,-0.043934760448522,-0.054230377166157,1.0230377166157
0.132,0.002,0.001,-0.001,-0.441,-0.527,10.07,0,0,-0.002,-0.441,-0.527,10.07,0,-0.044954128440367,-0.053720693170235,1.02650356778797
