time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.528,-0.662,0.838,0.141,0.019,-0.053,-0.082,-0.034,0.058,-0.002,0.000,
0.530,-0.470,1.347,0.193,0.018,-0.051,-0.081,-0.053,0.058,-0.009,0.000,
0.532,-0.374,1.585,0.222,0.017,-0.049,-0.081,-0.069,0.058,-0.019,0.000,
0.534,-0.180,2.049,0.256,0.016,-0.046,-0.081,-0.078,0.058,-0.022,0.000,
0.536,-0.087,2.270,0.264,0.016,-0.041,-0.080,-0.078,0.066,-0.014,0.000,
0.538,0.082,2.682,0.295,0.016,-0.037,-0.079,-0.064,0.068,-0.008,0.000,
0.540,0.160,2.872,0.313,0.016,-0.032,-0.079,-0.050,0.062,-0.006,0.000,
0.542,0.310,3.228,0.369,0.016,-0.026,-0.078,-0.046,0.053,0.002,0.000,
0.544,0.384,3.391,0.408,0.017,-0.019,-0.078,-0.047,0.043,0.010,0.000,
0.546,0.460,3.547,0.454,0.018,-0.013,-0.077,-0.059,0.041,0.021,0.000,
0.548,0.618,3.852,0.561,0.018,-0.005,-0.076,-0.067,0.041,0.031,0.000,
0.550,0.693,3.980,0.602,0.020,0.002,-0.075,-0.070,0.038,0.032,0.000,
0.552,0.812,4.165,0.652,0.021,0.010,-0.073,-0.075,0.036,0.029,0.000,
0.554,0.859,4.219,0.685,0.023,0.019,-0.072,-0.077,0.036,0.035,2.000,
0.556,0.914,4.221,0.720,0.024,0.027,-0.071,-0.074,0.037,0.060,0.000,
0.558,0.914,4.170,0.704,0.026,0.035,-0.069,-0.078,0.038,0.086,0.000,
0.560,0.890,3.960,0.633,0.028,0.044,-0.068,-0.080,0.031,0.101,0.000,
0.562,0.881,3.798,0.570,0.030,0.052,-0.067,-0.077,0.014,0.104,0.000,
